"","Time","COAST","EAST","FAR_WEST","NORTH","NORTH_C","SOUTHERN","SOUTH_C","WEST","ERCOT","KHOU","KHOU_squared","orig.id"
"28353",2013-03-27 22:00:00,9306.96536319459,1217.77394120603,1487.3366251521,755.635162506271,10975.2714322834,2700.52594541139,5459.36743691138,968.019149334839,32870.895056,64.562,4168.251844,"28353"
"34922",2013-12-26 17:00:00,9093.17436152805,1164.91242988147,1740.05397348371,765.821905664799,11449.9023124586,2990.21534959098,5876.45072142947,1101.49036296299,34182.021417,60.962,3716.365444,"34922"
"33439",2013-10-25 20:00:00,10333.1063037447,1267.82889191594,1630.1534047256,724.161330327297,10929.2879803822,3110.96820140538,6047.20130310645,964.155464392413,35006.86288,73.562,5411.367844,"33439"
"22233",2012-07-15 22:00:00,12606.1748656363,1509.57248717679,1753.04177679988,1064.60612330308,14093.3744297884,3763.56204080272,6979.13212611553,1211.39040337732,42980.854253,87.962,7737.313444,"22233"
"48220",2015-07-03 22:00:00,13947.9204628431,1655.31267524845,2144.34376259779,962.219888165786,15733.1024921825,3923.45260751453,8241.25311692566,1325.88256048194,47933.4875659598,86.1619999999999,7423.89024399998,"48220"
"40641",2014-08-22 00:00:00,13426.087,1706.13416,2007.86878,1023.6548,16240.4776,3961.6217,8355.51472,1291.16513,48012.52389,86.1619999999999,7423.89024399998,"40641"
"48848",2015-07-30 02:00:00,12641.1564326057,1526.26553209226,2130.18277881183,895.300254130602,14054.0863255063,3306.60824999456,7053.98460985434,1152.01426795963,42759.5984509553,84.812,7193.075344,"48848"
"2692",2010-04-23 06:00:00,8359.60829631437,974.554952898368,997.615425799271,596.225907283026,8181.27967493767,2195.13761431258,4083.31979006199,700.194269392698,26087.935931,72.6619999999999,5279.76624399999,"2692"
"38586",2014-05-28 09:00:00,10191.8725004414,1291.24770934373,1765.90449998351,737.724540716614,11323.8838831149,3045.73099119316,5902.6911950783,972.363655128443,35231.418975,70.862,5021.423044,"38586"
"46179",2015-04-09 20:00:00,12762.3118376504,1431.35921597715,2032.04524790666,790.706514031887,13409.9504808403,3638.96946178329,7437.82045471555,1161.45293805377,42664.6161509591,83.9119999999999,7041.22374399998,"46179"
"24604",2012-10-22 17:00:00,13916.4032378329,1605.24008872273,1678.04816649806,872.657916623076,14252.8350138887,4175.32612112661,8443.8897800499,1231.170675258,46175.571,82.562,6816.483844,"24604"
"53618",2016-02-13 20:00:00,9831.71327644474,1130.23314087688,1990.21682193792,739.906925002614,10692.0179459552,2848.45205879266,5499.34560655731,987.274695392692,33719.16047096,65.9119999999999,4344.39174399999,"53618"
"16736",2011-11-29 12:00:00,9273.62933059546,1307.809957358,1383.2052264244,787.204911473869,12003.5523161063,2396.60657516517,5373.99623495393,985.806166922872,33511.810719,37.562,1410.903844,"16736"
"14717",2011-09-06 09:00:00,9236.77521616054,1189.43403070149,1291.30620737107,696.420185006273,10795.0931143749,2714.78018307107,5109.00077480764,860.264102507009,31893.073814,68.1619999999999,4646.05824399999,"14717"
"22495",2012-07-26 20:00:00,15132.0827394958,2094.82990831882,1712.68968934492,1145.31162205737,20437.7807315069,4343.88084156471,9633.4934729363,1371.08236077512,55871.151366,91.562,8383.599844,"22495"
"39078",2014-06-17 21:00:00,15142.7736984187,1832.4856226646,2248.29716825571,1108.40341054407,18130.335607707,4331.36114148027,8765.00230224253,1409.04517668702,52967.704128,89.762,8057.216644,"39078"
"41930",2014-10-14 17:00:00,10994.4154922343,1372.75726510228,1958.41160788534,742.814395187468,11633.5890910891,3591.40755052198,6219.99529710034,1036.75277087924,37550.14347,75.362,5679.431044,"41930"
"54950",2016-04-09 08:00:00,8512.33556921719,1021.68574809938,1831.32363249968,613.787280289734,8807.492900655,2371.48660758046,4388.45960489836,855.526459724788,28402.0978029646,61.862,3826.907044,"54950"
"31371",2013-07-31 16:00:00,17924.9234087093,2250.35381094942,2229.93696681933,1357.7705278984,22901.1969153492,5026.892836867,10540.8508207066,1710.88822470084,63942.813512,91.562,8383.599844,"31371"
"16914",2011-12-06 22:00:00,11948.0059825309,1811.64749233196,1704.82981055134,1072.90718975554,17272.2028926013,3573.80580535335,8262.36911956339,1469.29170131226,47115.059994,42.962,1845.733444,"16914"
"33997",2013-11-18 02:00:00,8395.27879734473,957.633490867185,1468.74073649618,567.860878070253,7742.08946394857,2317.69036564507,4227.64685519995,778.254701428081,26455.195289,73.562,5411.367844,"33997"
"29860",2013-05-29 17:00:00,14265.545662804,1698.66350950061,1969.64472021415,974.602286159738,15427.2107379629,4253.70472974332,7886.02942122836,1318.05712338685,47793.458191,82.562,6816.483844,"29860"
"41875",2014-10-12 10:00:00,9240.98487515056,1120.46540974438,1783.27858590859,641.100918177507,9311.00536934391,2873.26409623607,4654.04049895632,892.643578482647,30516.783332,66.362,4403.915044,"41875"
"7527",2010-11-10 19:00:00,10376.2804600127,1342.73575213662,1223.74277035572,807.651490663366,11734.9343182287,3078.73873338224,6147.85342236499,990.388824855691,35702.325772,71.762,5149.784644,"7527"
"14417",2011-08-24 21:00:00,15534.2708822992,1782.81531992102,1857.51611089189,1324.7559569414,20699.1167941894,4565.94687007752,10761.4273233669,1612.10725031266,58137.956508,96.962,9401.629444,"14417"
"41857",2014-10-11 16:00:00,12176.5777523465,1239.90131196696,1862.30608542359,669.06089930941,10033.1445243448,4155.8473638987,5532.62767137484,923.076995335148,36592.542604,78.062,6093.675844,"41857"
"9510",2011-02-01 10:00:00,9759.01635050367,1689.94051112374,1576.30950637576,1198.69944955723,18986.704545041,2593.52954802476,6887.11658447753,1493.11417789623,44184.430673,69.962,4894.681444,"9510"
"31289",2013-07-28 06:00:00,10070.757617425,1083.22343439032,1479.62278298118,678.112286172419,9570.63453447956,2852.5184074317,5096.12960773235,855.712014387479,31686.710685,80.762,6522.500644,"31289"
"46062",2015-04-04 23:00:00,9324.008669588,1070.01709405548,1896.38946940403,656.074123267262,9582.28959946431,2627.34915500416,4951.26479940693,916.001146776528,31023.3940569667,69.962,4894.681444,"46062"
"28739",2013-04-13 00:00:00,8461.5234,1084.31418,1422.52503,633.23657,9134.9488,2495.9076,4678.1049,834.56774,28745.12822,69.962,4894.681444,"28739"
"42991",2014-11-27 22:00:00,9021.99026022127,1159.22765337867,1938.58102810716,741.292288062812,10590.1696175537,2400.07258272225,5012.1185264463,1009.11002550789,31872.561982,62.762,3939.068644,"42991"
"31019",2013-07-17 00:00:00,10888.9226,1372.68633,1539.13598,823.26512,12367.8242,3201.0601,6164.49884,942.21649,37299.60966,80.762,6522.500644,"31019"
"14136",2011-08-13 04:00:00,11005.6497814294,1544.82417891958,1373.72814249679,849.30644334894,13332.5495355669,3104.78874151492,6444.53985891577,1039.96383480771,38695.350517,82.562,6816.483844,"14136"
"15085",2011-09-21 17:00:00,15719.112837081,1931.54156202644,1782.4644007447,1164.2995268875,18883.5143599494,4507.35626313086,9932.88821207561,1497.81941310452,55418.996575,91.562,8383.599844,"15085"
"44741",2015-02-08 22:00:00,9229.11691345039,1148.36800535541,1924.52291519832,706.333075835766,10455.7843762012,2737.16500964764,5348.68695357491,984.655584706354,32534.63283397,73.112,5345.364544,"44741"
"18572",2012-02-14 09:00:00,9166.75696618662,1359.31106586321,1474.23658522862,917.673682657348,13293.2892520389,2751.53651899118,6108.0773079839,1125.78533805022,36196.666717,48.362,2338.883044,"18572"
"11629",2011-04-30 17:00:00,12279.2344826522,1535.2370671721,1487.20567269583,808.679658024446,14327.7910628025,3981.6547171424,8024.3698471065,1206.45813740408,43650.630645,84.362,7116.947044,"11629"
"15649",2011-10-15 05:00:00,7401.06314448541,861.849799219227,1166.3336282881,578.495703156613,7619.75188083626,2136.08094238285,3804.54476676847,733.796134863077,24301.916,66.362,4403.915044,"15649"
"45008",2015-02-20 01:00:00,8402.9685447806,1125.86467106019,1850.28356346842,758.019790773511,10247.8184642938,2182.05216487095,4451.76198311593,894.930700601944,29913.6998829654,56.012,3137.344144,"45008"
"11871",2011-05-10 19:00:00,13566.0935194664,1889.00120397977,1705.72770689723,969.161365429598,14792.8528958715,3987.26628113005,7890.52762888609,1190.92317633934,45991.553778,86.1619999999999,7423.89024399998,"11871"
"27540",2013-02-22 01:00:00,7388.76460103357,1020.19028770539,1413.36523927733,782.761224877805,9759.54748894417,2076.64277406913,4037.47111522758,872.23333786505,27350.976069,68.1619999999999,4646.05824399999,"27540"
"53585",2016-02-12 11:00:00,10233.7433962077,1171.23355667684,2079.41678833495,772.693383891225,11466.0009435027,2740.3963585547,5545.57944549341,1080.39909930844,35089.46297197,53.312,2842.169344,"53585"
"56445",2016-06-10 15:00:00,16884.7944202451,2029.98519422279,2518.36987072821,1146.58735070578,19395.8462320388,4854.95706792067,9005.79639487658,1434.28678521329,57270.6233159512,86.1619999999999,7423.89024399998,"56445"
"26335",2013-01-02 20:00:00,11807.3576582633,1733.32619476145,1649.48399541088,988.282456196416,16281.4232233172,3942.24656255418,7620.74487280469,1249.56377669185,45272.42874,44.762,2003.636644,"26335"
"22013",2012-07-06 18:00:00,16009.9866685928,2127.03764233715,1878.60444520062,1336.18254673371,21892.4117386656,4640.87893072723,10299.2403885921,1642.29374415078,59826.6361049999,91.562,8383.599844,"22013"
"48760",2015-07-26 10:00:00,13104.8586410359,1581.25483881303,2146.82855984945,939.42280561715,14673.4557535376,3584.87589064309,7055.40212291046,1208.17218254691,44294.2707949536,78.962,6234.997444,"48760"
"8937",2011-01-08 13:00:00,8677.309103055,1172.58556808018,1284.74812295268,795.927747856787,11017.8494621405,2476.94780621819,5040.07919913857,943.44040655815,31408.887416,48.362,2338.883044,"8937"
"38495",2014-05-24 14:00:00,13317.0745733794,1504.3641190598,1706.51623192816,831.912451402377,14355.2944286115,3782.3394992756,6544.16884052849,960.710604814687,43002.380749,80.762,6522.500644,"38495"
"28755",2013-04-13 16:00:00,9443.93731540127,1137.69107189118,1428.65739008413,663.72176439085,10291.6607914655,2919.98490381311,5139.73255457331,906.402606380666,31931.788398,73.562,5411.367844,"28755"
"34483",2013-12-08 10:00:00,10898.8659655303,1647.17854728383,1771.30951522092,1037.83048095326,16896.5524988493,4221.0639244837,8121.14835227089,1531.42242940778,46125.371714,38.462,1479.325444,"34483"
"39919",2014-07-22 22:00:00,15540.3075440893,1878.02430271863,2337.06937864086,1117.1489474044,18834.2352792705,4534.89640981882,9345.03815671286,1541.90960134456,55128.62962,87.962,7737.313444,"39919"
"8104",2010-12-04 20:00:00,9692.88726390366,1186.47732911852,1271.55530745296,775.358986273255,10760.7224136006,2739.20594622563,5350.33460648296,947.103822942455,32723.645676,77.1619999999999,5953.97424399999,"8104"
"53337",2016-02-02 03:00:00,8325.80865460064,911.737423031545,1966.69443667338,606.271913165046,7978.51432044573,2034.45622005507,4016.01778236497,903.548998624796,26743.0497489612,69.962,4894.681444,"53337"
"16194",2011-11-06 22:00:00,9705.72279896037,1119.0626880965,1300.48841383849,707.8934234636,10312.3476477247,3012.15815697573,5666.04625536459,938.571164576063,32762.290549,73.562,5411.367844,"16194"
"33576",2013-10-31 13:00:00,10705.2026044216,1402.67330544492,1632.19577735542,756.935709941378,11946.6156602059,3443.79791920837,6627.1539354005,991.8329310219,37506.407843,72.212,5214.572944,"33576"
"21831",2012-06-29 04:00:00,10242.8161036854,1322.71343417986,1472.31174711654,831.628228585115,12686.3666242497,2962.33803658551,6072.43931666322,1031.84434493468,36622.457836,82.562,6816.483844,"21831"
"53904",2016-02-25 18:00:00,9748.96112431017,1210.35891118722,1957.3773849706,753.854064765652,11155.6532838724,2731.43896249335,5391.39737605621,976.006857305247,33925.0479649609,68.387,4676.781769,"53904"
"15610",2011-10-13 14:00:00,12200.3662264522,1388.20138790638,1409.2550114691,786.808089380263,12352.0353051561,3616.2522820841,6954.61268684409,1039.30190470774,39746.832894,78.962,6234.997444,"15610"
"46215",2015-04-11 08:00:00,8449.90059203667,981.560620809185,1820.94396352282,632.211811592334,8858.4720095591,2404.21090722804,4425.11164299809,840.571408217921,28412.9829559642,66.812,4463.843344,"46215"
"44359",2015-01-23 22:00:00,11937.6804844109,1554.85971269767,2191.25989200993,884.410416839949,13807.3600878511,3835.15859526495,7422.40987790149,1336.86481898462,42970.0038859607,43.862,1923.875044,"44359"
"45982",2015-04-01 15:00:00,11429.9274250541,1458.86745721353,2141.46036433336,798.669434173077,12738.9632950046,3200.52769037592,6285.75526930702,1138.37833050048,39192.5492659621,74.9119999999999,5611.80774399999,"45982"
"6061",2010-09-10 17:00:00,16753.6313796908,2059.96882830416,1610.52326318534,1275.47003408203,19806.4754419086,4433.57526261456,9454.00765366236,1557.31391855216,56950.965782,89.762,8057.216644,"6061"
"53051",2016-01-21 05:00:00,8293.93515227851,1032.78982196736,2023.34765455859,788.057864761028,10358.4084510321,2074.39649207523,4779.54181616456,987.321373123252,30337.7986259606,62.312,3882.785344,"53051"
"20904",2012-05-21 13:00:00,13447.8473679157,1745.13852917163,1572.76596062871,846.521321551372,15404.4219028477,3687.51337138624,7489.81503850842,1211.51169399028,45405.5351860001,78.962,6234.997444,"20904"
"56905",2016-06-29 19:00:00,17003.0884301717,2073.29340794513,2573.66464460207,1215.72690536763,21028.7776731853,4868.81038040157,10428.600149665,1613.29688460726,60805.2584759457,92.9119999999999,8632.63974399998,"56905"
"141",2010-01-06 21:00:00,10367.7103769477,1607.33764371756,1296.2546920477,1035.463653537,14312.5084681575,2886.49079359875,6571.94034721936,1207.90918677448,39285.615162,57.362,3290.399044,"141"
"49838",2015-09-09 08:00:00,11739.8548033726,1529.32072325033,2123.09200399581,880.077156210805,14239.1501286145,3453.9134366447,7235.33114821053,1199.64306065885,42400.3824609581,77.1619999999999,5953.97424399999,"49838"
"20856",2012-05-19 13:00:00,11906.7100392904,1438.23409571251,1554.65186151957,899.895029929258,13971.4571949764,3587.0745594077,6799.27910281197,1133.3087413522,41290.610625,77.1619999999999,5953.97424399999,"20856"
"45040",2015-02-21 09:00:00,8680.60745708916,1056.81881940652,1916.20389282855,762.687517538058,9918.99838676331,2342.7436313612,4766.89046547164,942.340744503469,30387.2909149619,65.012,4226.560144,"45040"
"34667",2013-12-16 02:00:00,9670.50408004032,1397.97539658613,1691.32427897578,768.696222261116,11445.3066116145,3062.89595561946,5888.2992070998,1098.00988380287,35023.011636,42.962,1845.733444,"34667"
"54104",2016-03-05 02:00:00,7786.5658899186,969.678480310626,1843.67828859075,614.887833842543,8293.22270727173,2185.33599118046,4063.18975814075,846.856775709119,26603.4157249646,60.062,3607.443844,"54104"
"4035",2010-06-18 05:00:00,10038.5863630017,1272.25459919317,1163.05928203241,812.886561309948,11837.9537549228,2639.61591453942,5509.65457069042,968.053712310029,34242.064758,80.762,6522.500644,"4035"
"1822",2010-03-18 00:00:00,7684.7695,1068.7436,1075.83093,705.67471,9009.6641,1968.7648,4196.40102,787.90966,26497.75832,64.562,4168.251844,"1822"
"24209",2012-10-06 06:00:00,8059.51056965173,935.227765707895,1238.07797848238,580.356700539963,7864.14187927864,2177.37711538014,4345.38679614196,752.845317817315,25952.924123,66.362,4403.915044,"24209"
"44190",2015-01-16 21:00:00,10762.345655812,1463.26696645638,2066.50439402223,845.94896421354,12513.7017487085,3170.19101963018,6089.55965881116,1140.83498530716,38052.3533929612,59.162,3500.142244,"44190"
"9889",2011-02-17 05:00:00,7124.39775992284,895.610144560755,1069.92474694553,608.157815447782,7899.67172480937,1815.72633198008,3743.65721054739,708.952457786241,23866.098192,60.962,3716.365444,"9889"
"34013",2013-11-18 18:00:00,10780.0322198952,1323.53983853017,1661.91089208887,751.49923505345,11387.4032579242,3521.05877945897,6418.0053020593,1013.3636139899,36856.813139,75.362,5679.431044,"34013"
